country_name,country_hmd,country_iso3c
Australia,AUS,AUS
Austria,AUT,AUT
Belarus,BLR,BLR
Belgium,BEL,BEL
Bulgaria,BGR,BGR
Canada,CAN,CAN
Chile,CHL,CHL
Croatia,HRV,HRV
Czechia,CZE,CZE
Denmark,DNK,DNK
Estonia,EST,EST
Finland,FIN,FIN
France,FRATNP,FRA
Germany,DEUTNP,DEU
Greece,GRC,GRC
Hungary,HUN,HUN
Iceland,ISL,ISL
Ireland,IRL,IRL
Israel,ISR,ISR
Italy,ITA,ITA
Japan,JPN,JPN
Korea,KOR,KOR
Latvia,LVA,LVA
Lithuania,LTU,LTU
Luxembourg,LUX,LUX
Netherlands,NLD,NLD
New Zealand,NZL_NP,NZL
Norway,NOR,NOR
Poland,POL,POL
Portugal,PRT,PRT
Russia,RUS,RUS
Slovakia,SVK,SVK
Slovenia,SVN,SVN
Spain,ESP,ESP
Sweden,SWE,SWE
Switzerland,CHE,CHE
Taiwan,TWN,TWN
United Kingdom,GBR_NP,GBR
United States,USA,USA
Ukraine,UKR,UKR
