age,risk,odds_cum
0,0.004612868498928659,1
1,3.5316464009159837e-4,0.9953871315010714
2,2.1833711909038537e-4,0.995035595963023
3,1.7074296147145506e-4,0.994818342757608
4,1.41278910731745e-4,0.9946484845276395
5,1.2322200234267315e-4,0.9945079616731844
6,1.1224599467681787e-4,0.9943854164108012
7,1.0463970234104559e-4,0.9942738006306441
8,1.025665720015746e-4,0.9941697601161006
9,9.748304758897413e-5,0.9940677915318178
10,1.0056056116078554e-4,0.9939708867739893
11,1.080292306585877e-4,0.9938709325038377
12,1.2280376318818512e-4,0.9937635653916255
13,1.5027417176893555e-4,0.993641527486076
14,1.9078645599066518e-4,0.9934922088284979
15,2.4327879437949603e-4,0.9933026639709212
16,3.146517879579433e-4,0.9930610144963764
17,3.9343499106978615e-4,0.9927485460726138
18,5.122371352938935e-4,0.9923579640572551
19,5.790111425084664e-4,0.9918496414565603
20,6.312769429425175e-4,0.9912753494624639
21,6.97930101492033e-4,0.990649580190241
22,7.406703349395003e-4,0.9899581760281958
23,7.885771027995985e-4,0.9892249433743809
24,8.404968272523658e-4,0.9884448632345176
25,8.992238864561824e-4,0.9876140784630552
26,9.468011404120613e-4,0.9867259922931008
27,0.0010125942320030482,0.9857917589983235
28,0.0010818911554559005,0.9847935519492056
29,0.0011572066136466695,0.9837281125154018
30,0.001251420397577094,0.9825897358375688
31,0.001305989747579358,0.9813601029996918
32,0.0013763551511263264,0.9800784567664907
33,0.001455405271788976,0.9787295207340123
34,0.0015082848828246401,0.9773050726298804
35,0.0015837332734974917,0.9758310181629251
36,0.0016356376505703104,0.9742855621101495
37,0.0017090314685849336,0.9726919839623551
38,0.0017622070867878148,0.9710296227525231
39,0.0018419683414618627,0.9693184674698277
40,0.0019463720903420962,0.967533013539954
41,0.0020156758477514014,0.9656498342859152
42,0.002105532417628064,0.9637033972375599
43,0.0022244352950344243,0.9616742884936981
44,0.002352564118387724,0.9595351062640455
45,0.002539505526740598,0.9572777384027154
46,0.002724939484518705,0.9548467262954159
47,0.0029553671038350035,0.9522448267492701
48,0.0032137090544761345,0.9494305937134982
49,0.003521299084909059,0.9463794000178845
50,0.0038806126030630104,0.9430469151026247
51,0.004194111066521029,0.9393873153585978
52,0.004542184569995156,0.9354474206235028
53,0.004919547549834611,0.931198445783505
54,0.005347403170835847,0.9266173707511409
55,0.0058727926020417385,0.9216623740846348
56,0.006376288143575408,0.9162496421125302
57,0.006888853580074014,0.9104073703829729
58,0.007433482115730971,0.9041357073101846
59,0.008090475364830154,0.8974148306997005
60,0.00886976728189027,0.8901543181198913
61,0.00960933464912037,0.8822588564731981
62,0.0103860716380214,0.8737809358741969
63,0.011119088240797655,0.8647057844782702
64,0.01196283613440747,0.8550910445583281
65,0.012648547739694396,0.8448617305122774
66,0.013387526005866884,0.8341754565804521
67,0.014175868749012286,0.8230079109620254
68,0.015041595179901002,0.8113410588368289
69,0.01645352602913997,0.7991371950769731
70,0.018017334484986557,0.7859885704369202
71,0.019808726979957274,0.7718271514619818
72,0.021898681574681358,0.7565382381429533
73,0.02394756745847366,0.7399710481667903
74,0.026355488812933075,0.7222505415734986
75,0.02895866613295038,0.7032152755049235
76,0.03165648959795186,0.6828510991219856
77,0.034471549169679365,0.6612344304056805
78,0.03805061612419631,0.6384406552252662
79,0.04213219048821815,0.6141475949352092
80,0.04733499426830912,0.588272211477518
81,0.05323182544197273,0.560426349719024
82,0.059825282323406635,0.5305938320976991
83,0.0670308042414164,0.49885090629339596
84,0.0751644780458086,0.46541252884799017
85,0.0845760108902049,0.4304300390411512
86,0.09491511441944345,0.39402598337173544
87,0.10693353931120954,0.35662696207577343
88,0.1204363506546374,0.31849157880720647
89,0.13499793135053065,0.28013361534143266
90,0.15203466281063638,0.242316156768594
91,0.16977297278250084,0.2054757015807115
92,0.18937348218739414,0.17059148088878412
93,0.21077309752622483,0.13828597812137078
94,0.23328419091398295,0.10913901416828568
95,0.25721850964948934,0.08367860755088745
96,0.28408163612850934,0.06215492082710367
97,0.31256362223983813,0.0444978492251021
98,0.3423136758090914,0.030589440289422013
99,0.3729629661317349,0.020118256543007244
100,0.40417606256251715,0.012614891909328081
101,0.437351858463736,0.007516254567764103
102,0.47163339081091304,0.004229006663865929
103,0.5074400348003333,0.0022344659112248934
104,0.5430960056988635,0.001100608451472775
105,0.5778653615240843,5.028723976394995e-4
106,0.6108251743668208,2.1227985777706705e-4
107,0.6439552679757108,8.261397663582614e-5
108,0.6754769336444885,2.941427117276361e-5
109,0.7051713212811662,9.545609475597775e-6
110,0.7330875384496346,2.814319429256472e-6
